epoch,step,train_loss
0,49,1.0942432880401611
0,99,1.1182544231414795
0,149,1.1149816513061523
0,199,1.1817748546600342
0,249,1.1682389974594116
0,299,1.1066882610321045
0,349,1.1167048215866089
0,399,1.1162046194076538
0,449,1.0982383489608765
0,499,1.0606907606124878
0,549,1.1004698276519775
0,599,1.1424204111099243
0,649,1.113564372062683
0,699,1.1151673793792725
0,749,1.0826466083526611
0,799,1.0958244800567627
0,849,1.1018937826156616
0,899,1.1157779693603516
0,949,1.09050714969635
0,999,1.0888224840164185
0,1049,1.1869310140609741
0,1099,1.1687067747116089
0,1149,1.0913656949996948
0,1199,1.0614241361618042
0,1249,1.0551584959030151
0,1299,1.1315882205963135
0,1349,1.1618666648864746
0,1399,1.0905790328979492
0,1449,1.236584186553955
0,1499,1.1357630491256714
0,1549,1.082551121711731
0,1599,1.1168920993804932
0,1649,1.1316512823104858
0,1699,1.1066055297851562
0,1749,1.1643316745758057
0,1799,1.09829580783844
0,1849,1.097236156463623
0,1899,1.106369972229004
0,1949,1.1136722564697266
0,1999,1.0822876691818237
0,2049,1.0823434591293335
0,2099,1.129275918006897
0,2149,1.1143064498901367
0,2199,1.079175353050232
0,2249,1.147207498550415
0,2299,1.1065490245819092
0,2349,1.095262885093689
0,2399,1.09698486328125
0,2449,1.1168795824050903
0,2499,1.1254743337631226
0,2549,1.1425135135650635
0,2599,1.192249059677124
0,2649,1.1226418018341064
0,2699,1.0996003150939941
0,2749,1.1362868547439575
0,2799,1.1437946557998657
0,2849,1.109338641166687
0,2899,1.1478703022003174
0,2949,1.089396595954895
0,2999,1.2207553386688232
0,3049,1.1145602464675903
0,3099,1.1136168241500854
0,3149,1.224914789199829
0,3199,1.131678819656372
0,3249,1.1020545959472656
0,3299,1.206248164176941
0,3349,1.1006289720535278
0,3399,1.089577317237854
0,3449,1.0844491720199585
0,3499,1.164582371711731
0,3549,1.1265232563018799
0,3599,1.1172984838485718
0,3649,1.1061513423919678
0,3699,1.0881507396697998
0,3749,1.0999548435211182
0,3799,1.0980420112609863
0,3849,1.094653844833374
0,3899,1.1039628982543945
0,3949,1.084875226020813
0,3999,1.0951664447784424
0,4049,1.1122019290924072
0,4099,1.1017663478851318
0,4149,1.1156054735183716
0,4199,1.0975086688995361
0,4249,1.1141397953033447
0,4299,1.1057326793670654
